track_name,artist,album,release_date,spotify_url,track_id
I'm Good (Blue),David Guetta,I'm Good (Blue),2022-08-26,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK,4uUG5RXrOk84mYEfFvj3cK
Yummy,Whisnu Santika,Yummy,2024-02-21,https://open.spotify.com/track/2TnUiROEcAE7rAr9ziCg7M,2TnUiROEcAE7rAr9ziCg7M
Take Me Home (feat. Bebe Rexha) - Acoustic,Cash Cash,Acoustic Collection (Vol. 1),2021-10-29,https://open.spotify.com/track/3j9AY9emI5H45iMxTpT4TJ,3j9AY9emI5H45iMxTpT4TJ
Leave Before You Love Me (with Jonas Brothers),Marshmello,Leave Before You Love Me,2021-05-21,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1,4qu63nuBpdn0qHUHuObEj1
U Are My High (with Future),DJ Snake,U Are My High (with Future),2021-12-03,https://open.spotify.com/track/0ITaSRuI0L1RNL7ZNYTTi7,0ITaSRuI0L1RNL7ZNYTTi7
I Don't Wanna Wait,David Guetta,I Don't Wanna Wait,2024-04-05,https://open.spotify.com/track/331l3xABO0HMr1Kkyh2LZq,331l3xABO0HMr1Kkyh2LZq
When We Were Young (The Logical Song),David Guetta,When We Were Young (The Logical Song),2023-11-10,https://open.spotify.com/track/1CcLA0eaauck34YEIrvAAq,1CcLA0eaauck34YEIrvAAq
Moth To A Flame (with The Weeknd),Swedish House Mafia,Paradise Again,2022-04-15,https://open.spotify.com/track/0VO8gYVDSwM1Qdd2GsMoYK,0VO8gYVDSwM1Qdd2GsMoYK
One Kiss (with Dua Lipa),Calvin Harris,96 Months,2024-08-08,https://open.spotify.com/track/76dIZzTdrNO15mGBrU3MHi,76dIZzTdrNO15mGBrU3MHi
This Is What You Came For,Calvin Harris,96 Months,2024-08-08,https://open.spotify.com/track/2vlDrKpOC0eSTqTDRcbYyw,2vlDrKpOC0eSTqTDRcbYyw
Down 2 Diss (VIP Edit),Whisnu Santika,Down 2 Diss (VIP Edit),2024-02-02,https://open.spotify.com/track/015k4bwIeQk7TvJUTOQZn2,015k4bwIeQk7TvJUTOQZn2
Thank You (Not So Bad),Dimitri Vegas & Like Mike,Thank You (Not So Bad),2023-12-01,https://open.spotify.com/track/09CnYHiZ5jGT1wr1TXJ9Zt,09CnYHiZ5jGT1wr1TXJ9Zt
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",2021-10-22,https://open.spotify.com/track/6IPNp9PfaEqrzotY47TIWy,6IPNp9PfaEqrzotY47TIWy
Baby Don't Hurt Me,David Guetta,Baby Don't Hurt Me,2023-04-06,https://open.spotify.com/track/3BKD1PwArikchz2Zrlp1qi,3BKD1PwArikchz2Zrlp1qi
Somewhere Only We Know,Umur Anil Gokdag,Somewhere Only We Know,2022-12-09,https://open.spotify.com/track/6Cf1vqSNtka62rt74OQwjk,6Cf1vqSNtka62rt74OQwjk
Catalyst.,Weird Genius,Catalyst.,2023-12-08,https://open.spotify.com/track/5V8dpQ1eFrDjJvw0hnrIqh,5V8dpQ1eFrDjJvw0hnrIqh
Moth To A Flame (with The Weeknd),Swedish House Mafia,Moth To A Flame,2022-01-03,https://open.spotify.com/track/7kfOEMJBJwdCYqyJeEnNhr,7kfOEMJBJwdCYqyJeEnNhr
Keep On Moving,Whisnu Santika,Keep On Moving,2021-09-25,https://open.spotify.com/track/0Mhpl2xX31wedZgSCTxLyo,0Mhpl2xX31wedZgSCTxLyo
Moth To A Flame (with The Weeknd),Swedish House Mafia,Dawn FM (Alternate World),2022-01-07,https://open.spotify.com/track/3uuR20w7HgLlb5Hha2mCxb,3uuR20w7HgLlb5Hha2mCxb
U Are My High,DJ Snake,U Are My High,2021-07-28,https://open.spotify.com/track/3S7A85bAWOd6ltk6r2ANOI,3S7A85bAWOd6ltk6r2ANOI
Glorious - The Official Song of FIFA U-20 World Cup Argentina 2023™,Weird Genius,Glorious (The Official Song of FIFA U-20 World Cup Argentina 2023™),2023-05-12,https://open.spotify.com/track/4X7IYCqR576rQi9D1pVUxQ,4X7IYCqR576rQi9D1pVUxQ
Tak Selalu - Remix,Whisnu Santika,Tak Selalu (Remix),2022-01-26,https://open.spotify.com/track/2p4kVXckbPJYSP0HpyEWDj,2p4kVXckbPJYSP0HpyEWDj
Whatever,Kygo,Whatever,2024-01-19,https://open.spotify.com/track/0LMwmV37RCmBO2so0szAFs,0LMwmV37RCmBO2so0szAFs
Future Ghost (feat. Violette Wautier),Weird Genius,Future Ghost (feat. Violette Wautier),2021-09-10,https://open.spotify.com/track/3LcAn7vLisYcHAnACmLvO1,3LcAn7vLisYcHAnACmLvO1
SURVIVOR,Umur Anil Gokdag,SURVIVOR,2023-06-19,https://open.spotify.com/track/61p7JH9L1xZvU6ioJeN2zJ,61p7JH9L1xZvU6ioJeN2zJ
My Way,Calvin Harris,96 Months,2024-08-08,https://open.spotify.com/track/3ejfcz0QPyV717Vd3ta04V,3ejfcz0QPyV717Vd3ta04V
This Is The Life,Umur Anil Gokdag,This Is The Life,2024-03-26,https://open.spotify.com/track/6y29RB4vTw1y5u0VNohTUt,6y29RB4vTw1y5u0VNohTUt
Numb,Marshmello,Numb,2022-06-10,https://open.spotify.com/track/10xV5l9nhLvFpR8mqzs0bL,10xV5l9nhLvFpR8mqzs0bL
Glorious The Remix - The Official Song of FIFA U-17 World Cup Indonesia 2023™,Weird Genius,Glorious The Remix (The Official Song of FIFA U-17 World Cup Indonesia 2023™),2023-11-02,https://open.spotify.com/track/0C4wYGulYsP9O3FMQquRSI,0C4wYGulYsP9O3FMQquRSI
Whatever,Kygo,KYGO,2024-06-21,https://open.spotify.com/track/4rTPLtqJxa4UtCBkdMwSp6,4rTPLtqJxa4UtCBkdMwSp6
Somewhere Only We Know - Sped Up Version,Umur Anil Gokdag,Somewhere Only We Know (Sped Up Version),2023-11-30,https://open.spotify.com/track/3LY6yLTmsY7T7Ld69fDKGI,3LY6yLTmsY7T7Ld69fDKGI
How Deep Is Your Love,Calvin Harris,96 Months,2024-08-08,https://open.spotify.com/track/4slBllHFZYlpg3IjeX5CBl,4slBllHFZYlpg3IjeX5CBl
hate u love u,Umur Anil Gokdag,hate u love u,2024-07-18,https://open.spotify.com/track/70zZhEDOfVzrFC1Ubqe5sR,70zZhEDOfVzrFC1Ubqe5sR
abcdefu,Umur Anil Gokdag,abcdefu,2022-03-18,https://open.spotify.com/track/4gjAtmHt28E9rwqOO3bMHT,4gjAtmHt28E9rwqOO3bMHT
Where Are You Now,Lost Frequencies,Where Are You Now,2021-07-30,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z,3uUuGVFu1V7jTQL60S1r8z
Sweater Weather,Umur Anil Gokdag,Sweater Weather,2023-05-04,https://open.spotify.com/track/5hRGVmAudNvg3g55v8YReR,5hRGVmAudNvg3g55v8YReR
Miles On It,Marshmello,Miles On It,2024-05-03,https://open.spotify.com/track/4pkb8SbRGeHAvdb87v9rpf,4pkb8SbRGeHAvdb87v9rpf
You & Me - Rivo Remix,Disclosure,You & Me (Rivo Remix),2023-12-22,https://open.spotify.com/track/0xoYZ45fgTfyQYREZPN7Sa,0xoYZ45fgTfyQYREZPN7Sa
abcdefu - Sped Up Version,Umur Anil Gokdag,abcdefu (Sped Up Version),2024-01-04,https://open.spotify.com/track/4LCpctU6N0i4Mpk5uDsY64,4LCpctU6N0i4Mpk5uDsY64
SURVIVOR - Sped Up Version,Umur Anil Gokdag,SURVIVOR (Sped Up Version),2024-01-04,https://open.spotify.com/track/04I0TYgSXk7SXCzrdHU4IG,04I0TYgSXk7SXCzrdHU4IG
ANGELS LIKE YOU,Umur Anil Gokdag,ANGELS LIKE YOU,2024-02-05,https://open.spotify.com/track/4hao9nxU61sUbvdHywBnWx,4hao9nxU61sUbvdHywBnWx
Around The World (La La La La) - Sped Up Version,Umur Anil Gokdag,Around The World (La La La La),2023-09-10,https://open.spotify.com/track/3aBwmFHB6JHnWcsFWUZYKN,3aBwmFHB6JHnWcsFWUZYKN
Close Your Eyes,KSHMR,Close Your Eyes,2021-11-19,https://open.spotify.com/track/3h2aYVv7RHnOW0qGGYdYIT,3h2aYVv7RHnOW0qGGYdYIT
Around The World (La La La La),Umur Anil Gokdag,Around The World (La La La La),2023-09-10,https://open.spotify.com/track/1kBxioGjH3oHJyihNfaP3r,1kBxioGjH3oHJyihNfaP3r
Where Are You Now,Lost Frequencies,All Stand Together,2023-11-10,https://open.spotify.com/track/3mfER4ORePHvN35cbZ3dkV,3mfER4ORePHvN35cbZ3dkV
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,Heartbreak Anthem (with David Guetta & Little Mix),2021-05-20,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP,5K6Ssv4Z3zRvxt0P6EKUAP
